t,2024_EU27.Elec,2025_EU27.Elec,2026_EU27.Elec,2027_EU27.Elec,2028_EU27.Elec,2029_EU27.Elec,2030_EU27.Elec,2031_EU27.Elec,2032_EU27.Elec,2033_EU27.Elec,2034_EU27.Elec,2035_EU27.Elec,2036_EU27.Elec,2037_EU27.Elec,2038_EU27.Elec,2039_EU27.Elec,2040_EU27.Elec,2041_EU27.Elec,2042_EU27.Elec,2043_EU27.Elec,2044_EU27.Elec,2045_EU27.Elec,2046_EU27.Elec,2047_EU27.Elec,2048_EU27.Elec,2049_EU27.Elec,2050_EU27.Elec
20,285481.3471400736,300752.69172604085,316024.0363120081,331295.38089797535,346566.7254839426,361849.52644244244,350890.0569984407,360199.80879774684,369513.8396667576,378827.8705357684,388141.9014047792,397455.93227379,406781.4195153334,416095.4503843442,425409.4812533549,434723.5121223657,404915.0096249874,418249.2484204746,431584.466048431,444919.68367638736,458254.9013043438,471590.1189323002,484925.3365602566,498260.55418821296,511595.77181616944,524965.3585617236,465468.9232955932
21,276792.07657522376,291598.6032446235,306405.12991402333,321211.6565834231,336018.1832528229,350835.8175941427,340209.92439321295,349236.3128376584,358266.85010864265,367297.3873796269,376327.9246506112,385358.46192159544,394400.10686449974,403430.644135484,412461.18140646827,421491.71867745253,392590.50538102374,405518.88645644963,418448.2165713644,431377.54668627906,444306.8768011938,457236.2069161086,470165.53703102336,483094.86714593804,496024.1972608528,508986.85039152764,451301.3237148744
22,270932.93392865383,285426.03561519407,299919.13730173424,314412.2389882745,328905.34067481465,343409.31490575586,333008.35091805295,341843.6685120111,350683.0471100285,359522.4257080459,368361.80430606334,377201.1829040807,386051.43404649914,394890.8126445165,403730.1912425339,412569.5698405513,384280.13825932884,396934.85099190555,409590.4926746758,422246.1343574461,434901.77604021644,447557.4177229867,460213.05940575706,472868.7010885273,485524.3427712976,498212.60208727093,441748.1643002383
23,259102.58338465125,272962.8403633318,286823.09734201233,300683.35432069283,314543.6112993734,328414.266070236,318467.4626313664,326916.98399601993,335370.38904003135,343823.79408404283,352277.19912805426,360730.60417206574,369194.40700825927,377647.81205227075,386101.2170962821,394554.6221402936,367500.4552699482,379602.5969824972,391705.6270824103,403808.65718232334,415911.68728223647,428014.71738214954,440117.74748206267,452220.7775819757,464323.80768188875,476458.031158348,422459.12638202915
24,245412.79810786658,258540.74304457297,271668.68798127933,284796.6329179857,297924.57785469206,311062.3712122062,301641.1109828628,309644.19861589285,317650.96473257866,325657.7308492646,333664.4969659505,341671.26308263635,349687.87762012996,357694.6437368159,365701.4098535017,373708.17597018764,348083.4264775435,359546.14684866945,371009.70866886916,382473.2704890688,393936.8323092686,405400.3941294683,416863.955949668,428327.51776986767,439791.07959006744,451284.1866726903,400138.3349300879
25,235721.65544966553,248331.18900696735,260940.72256426915,273550.256121571,286159.7896788728,298778.7827512214,289729.56007495814,297416.61258449114,305107.1983174891,312797.78405048716,320488.3697834852,328178.9555164832,335879.000764528,343569.5864975261,351260.17223052407,358950.7579635221,334337.9080328753,345347.9753263128,356358.8508407159,367369.72635511897,378380.60186952207,389391.4773839252,400402.3528983283,411413.2284127313,422424.1039271344,433463.3579866777,384337.2124266147
26,230095.49857120626,242404.07032751341,254712.64208382057,267021.21384012775,279329.7855964349,291647.5910899936,282814.3534334675,290317.9329257714,297824.961311276,305331.9896967807,312839.01808228536,320346.04646779003,327862.30859054625,335369.3369760509,342876.36536155554,350383.3937470602,326357.9983490554,337105.279579341,347853.34974013735,358601.4199009337,369349.49006173003,380097.5602225264,390845.6303833228,401593.70054411906,412341.7707049154,423117.5420774664,375163.9294407264
27,226460.23575604794,238574.3452412926,250688.45472653728,262802.56421178195,274916.6736970266,287039.87103634875,278346.18908860284,285731.2200491956,293119.6454141647,300508.0707791339,307896.49614410306,315284.92150907224,322682.4347281189,330070.86009308806,337459.28545805725,344847.7108230264,321201.8909797464,331779.3766596492,342357.63880580437,352935.9009519595,363514.1630981146,374092.4252442698,384670.6873904249,395248.94953658,405827.2116827351,416432.7373911226,369236.7405528373
28,230109.8705448995,242419.21110577075,254728.55166664202,267037.8922275133,279347.23278838454,291665.80766325496,282832.0182746872,290336.0664473769,297843.56372868846,305351.06101000006,312858.55829131167,320366.0555726232,327882.787167934,335390.28444924555,342897.7817305571,350405.2790118687,326378.3829658601,337126.33548108634,347875.07697610074,358623.8184711151,369372.5599661294,380121.3014611438,390870.0429561582,401618.7844511725,412367.5259461869,423143.97038319876,375187.36252028705
29,243585.05590741127,256615.22884872428,269645.4017900373,282675.57473135035,295705.74767266336,308745.6956874507,299394.601460188,307338.08510714385,315285.2198417931,323232.3545764424,331179.48931109166,339126.624045741,347083.5338538646,355030.66858851386,362977.8033231631,370924.9380578124,345491.03205982264,356868.3824016923,368246.5679258396,379624.75344998686,391002.9389741342,402381.1244982815,413759.31002242886,425137.4955465761,436515.6810707234,447923.1918152938,397158.25513632665
30,270754.4779588113,285238.033443345,299721.5889278787,314205.1444124124,328688.69989694614,343183.12076443894,332789.007601731,341618.5056183228,350452.06196410366,359285.6183098845,368119.1746556654,376952.7310014463,385797.1527301863,394630.7090759672,403464.26542174804,412297.8217675289,384027.0236461665,396673.4010722855,409320.7068367246,421968.01260116353,434615.3183656026,447262.6241300417,459909.92989448074,472557.23565891973,485204.5414233588,497884.44333667523,441457.1971005581
31,298836.3443757903,314822.0920804706,330807.8397851509,346793.5874898312,362779.33519451146,378777.0752080475,367304.9148804002,377050.18273282325,386799.92983252695,396549.6769322307,406299.42403193447,416049.17113163817,425810.9105401977,435560.6576399014,445310.4047396051,455060.15183930885,423857.1888195832,437815.21170477755,451774.25921284046,465733.3067209033,479692.3542289663,493651.4017370292,507610.44924509217,521569.496753155,535528.5442612179,549523.568695848,487243.8527128716
32,319473.97546320775,336563.6985376672,353653.4216121267,370743.1446865862,387832.8677610457,404935.4113329354,392670.98387622705,403089.2597029863,413512.3241137406,423935.38852449495,434358.4529352493,444781.51734600373,455217.40225418826,465640.4666649426,476063.5310756969,486486.5954864513,453128.75655636576,468050.7201818206,482973.779190576,497896.83819933125,512819.89720808656,527742.9562168419,542666.0152255972,557589.0742343526,572512.1332431078,587473.6537441538,520892.9020040624
33,332193.79043338314,349963.9386194139,367734.0868054446,385504.2349914753,403274.38317750604,421057.86230741226,408305.1282594134,419138.20638934145,429976.26376011636,440814.3211308913,451652.37850166624,462490.43587244116,473341.8241870916,484179.8815578665,495017.9389286414,505855.99629941635,471170.01933123113,486686.099006459,502203.3176775316,517720.53634860413,533237.7550196768,548754.9736907494,564272.192361822,579789.4110328945,595306.6297039671,610863.8412066662,541632.1854563773
34,338569.2873723975,356680.4820458357,374791.67671927385,392902.87139271206,411014.0660661502,429138.8475322916,416141.3617182197,427182.34938302304,438228.41185076884,449274.4743185147,460320.5367862606,471366.59925400646,482426.24851445557,493472.3109822015,504518.3734499473,515564.43591769313,480212.76215939363,496026.62801041326,511841.6547170015,527656.6814235896,543471.7081301778,559286.7348367659,575101.7615433541,590916.7882499422,606731.8149565305,622587.6020412284,552027.2453277366
35,342111.31783405424,360411.98747058836,378712.65710712253,397013.32674365665,415313.9963801908,433628.39495118597,420494.9325663043,431651.4283887997,442813.05210560554,453974.67582241143,465136.2995392174,476297.92325602326,487473.27590729017,498634.8996240961,509796.52334090194,520958.1470577078,485236.6325903049,501215.93930276704,517196.4190153895,533176.8987280119,549157.3784406345,565137.8581532569,581118.3378658794,597098.8175785018,613079.2972911242,629100.9638071298,557802.4216108252
36,343642.25166978635,362024.81603737036,380407.3804049543,398789.9447725383,417172.5091401223,435568.86387857463,422376.62979893404,433583.0504735244,444794.6219895376,456006.19350555097,467217.7650215643,478429.3365375777,489654.69842445944,500866.2699404728,512077.841456486,523289.4129724994,487408.04622219637,503458.85966373293,519510.85135455645,535562.8430453799,551614.8347362034,567666.826427027,583718.8181178506,599770.809808674,615822.8014994975,631916.1643029263,560298.564112932
